Name,Gender,Birth Date,Income
Tracy Cummings,Female,1974-12-30,27273.36
Victoria Burke,Female,1961-01-24,54410.77
Amanda Gonzalez,Female,1973-11-30,63961.55
Steven Thompson,Male,1968-12-19,54079.1
Haley Hawkins,Female,2020-06-10,74078.9
William Watson,Male,1994-07-26,33456.5
Kathleen Stokes,Female,1940-06-16,60947.97
Scott Martinez,Male,1956-07-16,54847.91
Nathaniel Nelson,Male,1998-05-21,27906.75
Ricky Le,Male,1979-07-23,54504.23
Terry Black,Female,1964-03-24,48086.49
Julie Gibson,Female,2007-11-29,37964.07
Lisa Arias,Female,2012-07-14,63814.82
Jennifer Barnes,Female,1994-08-27,42256.62
Lisa Turner,Female,1976-03-14,82831.29
Teresa Shepard,Female,1987-02-24,66812.29
Seth Livingston,Male,2006-07-18,57284.6
Brian Howard,Male,2020-06-16,66217.13
Jackson Mitchell,Male,2003-09-28,61784.73
Ashley Vega,Female,1952-03-22,48140.48
Morgan Horton,Female,1935-11-09,43996.28
Ashley Hamilton,Female,1968-02-25,64196.9
Charles King,Male,1982-09-04,62632.92
Elizabeth Schwartz,Female,1991-03-08,36650.77
Sarah Delgado,Female,1975-05-21,48692.44
Brooke Dunn,Female,1958-02-21,74866.44
Ashley Williams,Female,1999-01-28,58417.18
Melissa Greene,Female,1950-12-01,63239.38
Jennifer Jefferson,Female,1939-06-13,61781.56
Gregory Wilson,Male,1973-09-04,67480.33
Anthony Cordova,Male,1943-11-18,60853.39
Jennifer Ortega,Female,1971-07-08,76454.06
Gabriel Lee,Male,2002-10-02,45473.08
William Rowland,Male,1962-03-15,20000.0
Robert Santos,Male,1978-11-09,55956.17
Jennifer Ortiz,Female,1954-08-21,49371.19
Michelle Rowe,Female,1936-03-05,85928.45
Joseph Dean,Male,2023-11-23,85170.0
Erin Frazier,Female,1957-01-08,57224.72
John Foster,Male,2004-03-04,70032.4
Brenda Martinez,Female,1965-09-14,40945.68
George Stewart,Male,1946-05-02,48329.98
Lisa Montgomery,Female,2010-11-27,60657.95
Maria Jones,Female,2005-02-21,81538.66
Deborah Paul,Female,1983-11-01,76099.29
Tammy Wright,Female,1999-03-20,46455.14
Jared Novak,Male,2004-08-18,48177.04
Jessica Garcia,Female,1939-07-19,59719.91
Ronald Johnson,Male,1984-05-07,58008.47
Joanna Allen,Female,1988-08-14,72436.14
Kyle Woodward,Male,1960-11-01,60775.17
Kevin Hunt,Male,1979-11-16,60970.15
Jonathan Coleman,Male,1941-10-23,69284.61
Duane Lara,Male,1970-08-26,58557.94
