Name,Age,Gender,Birth Date,Kennitala,Income,Email
Daniel Gallegos,40.04004004004004,Male,1984-12-18,1812848863,8875.771714261224,douglasmary@example.net
Keith Holmes,52.052052052052055,Male,1972-12-13,1312728390,10195.90472688162,kristina12@example.com
Matthew Kim,43.74374374374375,Male,1981-04-05,0504818779,9727.39288468272,reneebrady@example.com
Cameron Galloway,39.73973973973974,Male,1985-04-07,0704858912,9942.52383085657,suttonsamantha@example.com
Jason Hood,31.631631631631635,Male,1993-05-16,1605938436,7245.201792649814,tylerjackson@example.org
Brian Lopez,46.84684684684685,Male,1978-02-27,2702788045,10327.02155351116,lori75@example.org
Steven Price,32.532532532532535,Male,1992-06-21,2106928261,7043.9139969455655,harrisjames@example.com
Joseph Mitchell,68.36836836836838,Male,1956-08-20,2008568981,8429.49600852529,wendybarton@example.net
Antonio Benson,79.27927927927928,Male,1945-09-22,2209458523,6562.539851199276,julia31@example.org
Michael Duran,28.82882882882883,Male,1996-03-05,0503968495,6815.353699907935,sergiostewart@example.org
Edward Sosa,58.35835835835836,Male,1966-08-24,2408668415,9925.723121293577,megan95@example.org
Charles Wagner,38.73873873873874,Male,1986-04-07,0704868946,8266.969195444031,bsmith@example.org
Mark Morse,41.34134134134134,Male,1983-08-31,3108838803,9902.714635956148,sarahsolomon@example.org
George Bridges,72.77277277277278,Male,1952-03-25,2503528311,7312.588146731287,brianjordan@example.com
Daniel Chavez,62.06206206206207,Male,1962-12-10,1012628363,8944.130359368673,crystalmurray@example.org
Christopher Hicks,57.15715715715716,Male,1967-11-06,0611678596,11809.401425713784,bradley54@example.net
Eric Dean,65.86586586586587,Male,1959-02-20,2002598929,8526.283034316297,tlawson@example.net
Lance Roberts,58.95895895895896,Male,1966-01-17,1701668223,8495.787355556293,shelly41@example.org
Matthew Watts,34.134134134134136,Male,1990-11-14,1411908516,7735.133557946094,jackjordan@example.net
Robert Jones,57.35735735735736,Male,1967-08-25,2508678142,9973.983305850836,vmiller@example.org
Richard Robinson,46.44644644644645,Male,1978-07-23,2307788288,9284.966756502903,julierusso@example.com
Douglas Chapman,75.77577577577578,Male,1949-03-24,2403498143,6269.456221871514,dcabrera@example.com
Gary Meadows,38.23823823823824,Male,1986-10-07,0710868772,7870.318420307204,willisalicia@example.org
Jason Vasquez,30.930930930930934,Male,1994-01-27,2701948091,5650.968998851077,carrie60@example.org
Nathaniel Aguilar,20.62062062062062,Male,2004-05-20,2005048638,3000.0008882745433,schwartzholly@example.org
Christopher Kelly,56.75675675675676,Male,1968-03-31,3103688810,9718.695739241643,hutchinsonmichael@example.com
Richard Austin,33.733733733733736,Male,1991-04-09,0904918258,8150.389404984104,benjaminkelley@example.org
Rodney Lambert,41.44144144144144,Male,1983-07-25,2507838546,8793.210877792484,grogers@example.com
